,时间,最终排名,实时预测排名,平均绝对误差,均方误差
68,1592295077.87,1,[0.58855174],0.4114482638888889,0.16928967385718074
69,1592295087.87,1,[0.62063901],0.3793609918831169,0.1439147621625423
70,1592295097.87,1,[0.60118354],0.39881645923520925,0.15905456815690933
71,1592295107.87,1,[0.6643184],0.33568160290404025,0.11268213852822577
72,1592295117.87,1,[0.61971455],0.3802854522907648,0.14461702522399156
73,1592295127.87,1,[0.69232028],0.3076797150072148,0.09466680702692093
74,1592295137.87,1,[0.65437854],0.34562145625901874,0.1194541910266048
75,1592295147.87,1,[0.71551661],0.284483388618326,0.0809307983997655
76,1592295157.87,1,[0.67891597],0.32108402967171723,0.10309495411022819
77,1592295167.87,1,[0.76513677],0.2348632297979798,0.055160736711138664
78,1592295177.87,1,[0.72602117],0.27397882828282816,0.07506439834723144
79,1592295187.87,1,[0.77004084],0.22995916152597395,0.05288121596972898
80,1592295197.87,1,[0.73774553],0.26225446518759,0.06877740451082885
81,1592295207.87,1,[0.78854269],0.21145731141774893,0.04471419455202285
82,1592295217.87,1,[0.73486668],0.26513332178932136,0.07029567832303983
83,1592295227.87,1,[0.78641727],0.21358272808441559,0.045617581735981405
84,1592295237.87,1,[0.73858469],0.26141531385281347,0.06833796631676498
85,1592295247.87,1,[0.76861121],0.231388787608225,0.05354077103080426
86,1592295257.87,1,[0.72945107],0.27054892992424207,0.07319672348315244
87,1592295267.87,1,[0.78273694],0.2172630624098122,0.04720323828768995
88,1592295277.87,1,[0.7483285],0.25167149837662317,0.06333854309513463
89,1592295287.87,1,[0.77954515],0.22045485308441548,0.048600342248471214
90,1592295297.87,1,[0.74149469],0.2585053108766232,0.0668249957514196
91,1592295307.87,1,[0.79003659],0.20996340665584412,0.04408463213452737
92,1592295317.87,1,[0.74787706],0.25212293587662327,0.06356597479504789
93,1592295327.87,1,[0.80160091],0.19839908919552673,0.039362198593614575
94,1592295337.87,1,[0.7546469],0.24535309623015855,0.060198141829725445
95,1592295347.87,1,[0.76730324],0.23269675595238093,0.05414778023076193
96,1592295357.87,1,[0.75754994],0.2424500605158728,0.05878203184415039
97,1592295367.87,1,[0.78120582],0.21879417857142847,0.04787089257674613
98,1592295377.87,1,[0.74965885],0.2503411527777777,0.06267069277410663
99,1592295387.87,1,[0.79910876],0.20089124107142853,0.040357290739218815
100,1592295397.87,1,[0.76681673],0.2331832671356422,0.054374436072052265
101,1592295407.87,1,[0.85591332],0.1440866798340551,0.0207609713056015
102,1592295417.87,1,[0.76922955],0.23077044518186074,0.05325499836943419
103,1592295427.87,1,[0.8566411],0.14335890007215024,0.02055177422989676
104,1592295437.87,1,[0.80691987],0.19308012734487734,0.03727993557551405
105,1592295447.87,1,[0.83294948],0.16705052074314575,0.027905876480556167
106,1592295457.87,1,[0.79807519],0.201924807900433,0.040773628045626766
107,1592295467.87,1,[0.85660294],0.14339705546536785,0.020562715516137784
108,1592295477.87,1,[0.79761165],0.2023883495670996,0.04096104404049451
109,1592295487.87,1,[0.84711979],0.15288020625901877,0.02337235746580012
110,1592295497.87,1,[0.80060773],0.19939226623376638,0.039757275833837175
111,1592295507.87,1,[0.84283539],0.15716461498917766,0.02470071620469645
112,1592295517.87,1,[0.82340524],0.17659476109307337,0.03118570964551966
113,1592295527.87,1,[0.86822439],0.1317756101190477,0.01736481142224727
114,1592295537.87,1,[0.82436245],0.17563754978354995,0.03084854889396899
115,1592295547.87,1,[0.87257469],0.12742531150793668,0.0162372100128947
116,1592295557.87,1,[0.82372639],0.17627361165223676,0.03107238616492358
117,1592295567.87,1,[0.87127715],0.12872285119047633,0.016569572418605513
118,1592295577.87,1,[0.83153753],0.16846246581890334,0.028379602389785177
119,1592295587.87,1,[0.87528965],0.12471034668109682,0.015552670569319357
120,1592295597.87,1,[0.83550619],0.16449381304112554,0.02705821452880876
121,1592295607.87,1,[0.86908772],0.13091227804834027,0.017138024543805953
122,1592295617.87,1,[0.8414983],0.15850170463564195,0.02512279037240428
123,1592295627.87,1,[0.85807324],0.1419267559523807,0.020143204055166626
124,1592295637.87,1,[0.89602357],0.1039764255952379,0.010811097079562043
